feature1,feature2,feature3,target
-2.345871333751469168e-01,-1.415370742050414243e+00,-4.206453227653590421e-01,-4.362357341287388834e+00
-3.427145165267694860e-01,-8.022772692216189050e-01,-1.612857116660091350e-01,-2.833463155710611581e+00
4.040508568145383950e-01,1.886185901210530202e+00,1.745778128318389577e-01,6.277375866278613437e+00
2.575503907227643663e-01,-7.444591576616721440e-02,-1.918771215299041488e+00,2.127984529766817623e+00
-2.651387544921687822e-02,6.023020994102643716e-02,2.463242112485286128e+00,-2.367717817725940144e+00
-1.923609647811225232e-01,3.015473423336124670e-01,-3.471176970524331162e-02,5.959250125713981827e-01
-1.168678037619532040e+00,1.142822814515020546e+00,7.519330326867741388e-01,2.828068803388259500e-01
7.910319470430469124e-01,-9.093874547947389253e-01,1.402794310936099187e+00,-2.631114820790865227e+00
-1.401851062792280889e+00,5.868570938002702908e-01,2.190455625809978546e+00,-3.209217748844538143e+00
-9.905363251306883443e-01,-5.662977296027719154e-01,9.965136508764121936e-02,-3.755120547046460810e+00
-5.034756541161992116e-01,-1.550663431066132691e+00,6.856297480602732697e-02,-5.778198893773937250e+00
-1.062303713726104881e+00,4.735924306351815827e-01,-9.194242342338031504e-01,1.684902681253059031e-01
1.549934405017539429e+00,-7.832532923362370836e-01,-3.220615162056755798e-01,1.095375442967807089e+00
8.135172173696697540e-01,-1.230864316433955219e+00,2.274599346041294157e-01,-2.437826883316387860e+00
1.307142754282428099e+00,-1.607483234561227547e+00,1.846338585323042125e-01,-2.533544431088786020e+00
2.598827942484235320e-01,7.818228717773103575e-01,-1.236950710878081949e+00,4.030340492581616196e+00
-1.320456613084276309e+00,5.219415656168976403e-01,2.969846732331860584e-01,-1.393417917722230559e+00
2.504928503458765388e-01,3.464482094969756898e-01,-6.800247215784908095e-01,2.251445807320971326e+00
2.322536971610035528e-01,2.930724732986812464e-01,-7.143514180263678126e-01,2.205611853939373646e+00
1.865774511144756564e+00,4.738329209117875251e-01,-1.191303497202648609e+00,6.430117244547726152e+00
6.565536086338297217e-01,-9.746816702273214394e-01,7.870846037424520381e-01,-2.414016250153099730e+00
1.158595579007404064e+00,-8.206823183517104603e-01,9.633761292443218105e-01,-1.110133547074913851e+00
4.127809269364983158e-01,8.220601599944900029e-01,1.896792982653947357e+00,1.294696414738738310e+00
-2.453881160028704989e-01,-7.537361643574895798e-01,-8.895144296255232952e-01,-1.864321609051925899e+00
-8.158102849654382815e-01,-7.710170941410419976e-02,3.411519748166438881e-01,-2.232943536881846658e+00
2.766907993300190549e-01,8.271832490360238044e-01,1.300189187790701945e-02,3.054201309924011287e+00
1.453534077157316862e+00,-2.646568332379560795e-01,2.720169166589618825e+00,-6.897946063440857367e-01
6.256673477650062098e-01,-8.571575564162825511e-01,-1.070892498061112308e+00,-1.973108242336054641e-01
4.824724152431852930e-01,-2.234627853258508989e-01,7.140004940920919863e-01,-2.661701282830163384e-01
4.732376245735448461e-01,-7.282891265687277405e-02,-8.467937180684049769e-01,1.563906214399190642e+00
-1.514847224685864635e+00,-4.465149520670210759e-01,8.563987943234723232e-01,-5.185466927686370298e+00
2.140937441302039612e-01,-1.245738778711988015e+00,1.731809258511819993e-01,-3.413195374555626493e+00
3.853173797288367841e-01,-8.838574362011329955e-01,1.537251059455279067e-01,-2.074784702279837134e+00
5.820871844599989631e-02,-1.142970297830623094e+00,3.577873603482832898e-01,-3.647871568767111050e+00
5.607845263682343928e-01,1.083051243175277012e+00,1.053802052034902959e+00,3.318179970305576987e+00
-1.377669367957091051e+00,-9.378250399151227823e-01,5.150352672086597750e-01,-6.074081513013327438e+00
5.137859509122087998e-01,5.150476863060479138e-01,3.852731490654721203e+00,-1.357317508297706476e+00
5.708905106931669859e-01,1.135565640180598912e+00,9.540017634932023149e-01,3.596927195860822213e+00
6.513912513057980025e-01,-3.152692446403456139e-01,7.589692204932674269e-01,-3.521946226781633715e-01
-7.728252145375718030e-01,-2.368186067400088746e-01,-4.853635478291034588e-01,-1.625628340686562590e+00
8.187413938632255583e-02,2.314658566673508666e+00,-1.867265192591748058e+00,9.070916253993440037e+00
6.862601903745134679e-01,-1.612715871189651651e+00,-4.719318657894334690e-01,-2.778377121279338891e+00
1.088950596967366069e+00,6.428001909546277037e-02,-1.077744777929306119e+00,3.371751272861621906e+00
-7.153037092599682234e-01,6.795977489346758382e-01,-7.303666317171366718e-01,1.425784523673295556e+00
2.164585895819748640e-01,4.557183990381378363e-02,-6.516003476058170873e-01,1.239567247055043175e+00
2.143944089325325653e+00,6.339190223180112271e-01,-2.025142586657607158e+00,8.433768125584059305e+00
1.864543147694276426e-01,-6.617864647683879831e-01,8.524333347962239626e-01,-2.545713928098047862e+00
-7.925207384327006555e-01,-1.147364414668990140e-01,5.049872789804571438e-01,-2.518210264464633141e+00
8.657551941701214782e-01,-1.200296407055776227e+00,-3.345012358409483744e-01,-1.594816861530539365e+00
-4.749453111609561740e-01,-6.533292325737118933e-01,1.765454240281096876e+00,-4.887722132755126125e+00
4.049817109609555321e-01,-1.260883954335045187e+00,9.178619470547760839e-01,-3.943125890306076631e+00
2.122156197012633250e+00,1.032465260551146846e+00,-1.519369965954013413e+00,8.785164875477351032e+00
-4.842340728662513638e-01,1.266911149186622731e+00,-7.076694656187807464e-01,3.554974146093766940e+00
4.438194281462284341e-01,7.746340534293367774e-01,-9.269304715780829484e-01,4.172647085736265637e+00
-5.952535606180008043e-02,-3.241267340069072578e+00,-1.024387641334289833e+00,-8.630848007074940043e+00
-2.525681513931603006e-01,-1.247783181964849497e+00,1.632411303931635249e+00,-5.785854768793900149e+00
-1.430141377960632676e+00,-4.400444866969837610e-01,1.307405772860913418e-01,-4.368847158864548774e+00
1.441273289066115515e+00,-1.435862151179439383e+00,1.163163752154959596e+00,-2.678045094695883144e+00
1.023306101958704889e-02,-9.815086510479509307e-01,4.621034742632707526e-01,-3.336971388217298884e+00
1.990596955734700302e-01,-6.002168771587946816e-01,6.980208499001891442e-02,-1.604356646021527277e+00
-3.853135968617601992e-01,1.135173452512480419e-01,6.621306745210466804e-01,-9.090599559053874623e-01
1.586016816145352060e+00,-1.237815498826849048e+00,2.133033374656266634e+00,-2.556502226773980979e+00
-1.952087799522501887e+00,-1.517850950355833228e-01,5.883172064845765270e-01,-4.994765655846800989e+00
2.809918677350326521e-01,-6.226995198205937943e-01,-2.081222503572752180e-01,-1.269306026543528754e+00
-4.930009346588328234e-01,-5.893647569442115319e-01,8.496020970210246270e-01,-3.468310999754783630e+00
3.570154859650473411e-01,-6.929095952606542097e-01,8.995998754332507064e-01,-2.275751673810380016e+00
3.072995208766093334e-01,8.128621188389600905e-01,6.296288419236122369e-01,2.547338187543832788e+00
